atributo
cloudcover
conditions
datetime
datetimeEpoch
description
dew
feelslike
feelslikemax
feelslikemin
humidity
icon
moonphase
precip
precipcover
precipprob
preciptype
pressure
severerisk
snow
snowdepth
solarenergy
solarradiation
source
stations
sunrise
sunriseEpoch
sunset
sunsetEpoch
temp
tempmax
tempmin
uvindex
visibility
winddir
windgust
windspeed
