station_id,station_name,region,latitude,longitude,elevation,country,daily_available,daily_records,daily_has_coco,daily_coco_count,daily_error,hourly_available,hourly_records,hourly_has_coco,hourly_coco_count,hourly_error,last_daily_date,last_hourly_date
87576,Ezeiza Aerodrome,B,-34.8167,-58.5333,20.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87582,Aeroparque Bs. As. Aerodrome,C,-34.5667,-58.4167,6.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87585,Buenos Aires Observatorio,C,-34.5833,-58.4833,25.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87593,La Plata Aerodrome,B,-34.9667,-57.9,21.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87596,Punta Indio B. A.,B,-35.3667,-57.2833,16.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87623,Santa Rosa Aerodrome,L,-36.5667,-64.2667,190.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87637,Coronel Suarez Aerodrome,B,-37.4333,-61.8833,233.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87639,San Carlos de Bolívar,B,-36.25,-61.1,94.0,AR,False,0,False,0,,False,0,False,0,,,
87640,Bolivar Aerodrome,BA,-36.2,-61.0667,94.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87641,Azul Aerodrome,B,-36.8333,-59.8833,146.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87642,Azul Airport,B,-36.75,-59.8333,132.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87643,Olovarria Aerodrome,B,-36.8833,-60.2167,165.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87645,Tandil Aerodrome,B,-37.2333,-59.25,175.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87648,Dolores Aerodrome,B,-36.35,-57.7333,10.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87663,Villa Gesell,B,-37.2333,-57.0333,7.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87679,Pigue Aerodrome,B,-37.6,-62.3833,304.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87688,Tres Arroyos,B,-38.3333,-60.25,115.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87692,Mar Del Plata Aerodrome,B,-37.9333,-57.5833,18.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87696,Mar Del Plata Anb / Peralta Ramos,B,-38.05,-57.55,4.0,AR,False,0,False,0,,False,0,False,0,,,
87715,Neuquen Aerodrome,R,-38.95,-68.1333,270.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87736,Rio Colorado,R,-39.0167,-64.0833,79.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87750,Bahia Blanca Aerodrome,B,-38.7333,-62.1667,75.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87761,Chapelco,Q,-40.0833,-71.1333,779.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87765,Bariloche Aerodrome,R,-41.15,-71.1667,845.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87774,Maquinchao,R,-41.25,-68.7333,888.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87784,San Antonio Oeste Aerodrome,R,-40.7833,-65.1,20.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87791,Viedma Aerodrome,R,-40.85,-63.0167,6.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87800,El Bolson Aerodrome,R,-41.9667,-71.5167,337.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87803,Esquel Aerodrome,U,-42.9333,-71.15,789.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87814,Paso De Indios,U,-43.8167,-68.8833,460.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87823,P. Madryn Aerodrome,U,-42.7333,-65.0667,136.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87828,Trelew Aerodrome,U,-43.2,-65.2667,39.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87839,Faro P. Delgada,,-46.5167,-63.6333,0.0,AR,True,28,False,0,,True,699,True,0,,2025-06-19,2025-06-20 16:00
87852,Perito Moreno Aerodrome,Z,-46.5167,-71.0167,429.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87860,Comodoro Rivadavia Aerodrome,U,-45.7833,-67.5,58.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
87880,Gobernador Gregores Aerodrome,Z,-48.7833,-70.1667,358.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87896,Puerto Deseado Aerodrome,Z,-47.7333,-65.9167,81.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87903,Lago Argentino Aerodrome,Z,-50.3333,-72.3,223.0,AR,True,28,False,0,,True,699,True,0,,2025-06-19,2025-06-20 16:00
87904,El Calafate Aero / Charles Fuhr,Z,-50.2667,-72.05,199.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87909,San Julian Aerodrome,Z,-49.3167,-67.75,58.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87912,Santa Cruz Aerodrome,Z,-50.0167,-68.5667,113.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87925,Rio Gallegos Aerodrome,Z,-51.6167,-69.2833,20.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87934,Rio Grande B. A.,V,-53.8,-67.75,13.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
87938,Ushuaia Aerodrome,V,-54.8,-68.3167,16.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
97789,Puerto Madryn,U,-42.77,-65.1,136.0,AR,True,29,False,0,,True,720,True,720,,2025-06-20,2025-06-21 13:00
SACT0,Gobernador / Chamical,F,-30.3667,-66.3,457.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
SADO0,Campo De Mayo / Muñiz,B,-34.5344,-58.6717,24.0,AR,True,30,False,0,,True,720,True,720,,2025-06-21,2025-06-21 13:00
SATM0,Villa Mercedes,W,-29.2167,-58.0833,107.0,AR,False,0,False,0,,False,0,False,0,,,
SAVD0,El Maiten / El Maitén,U,-42.0333,-71.1667,720.0,AR,False,0,False,0,,False,0,False,0,,,
SAVR0,Alto Rio Senguerr / Alto Río Senguer,U,-45.0167,-70.8167,697.0,AR,False,0,False,0,,False,0,False,0,,,
SAWM0,Alto Rio Mayo / Río Mayo,U,-45.7,-70.25,545.0,AR,False,0,False,0,,False,0,False,0,,,
SAWT0,El Turbio / Elturbio / Veintiocho de Noviembre,Z,-51.6,-72.2167,273.0,AR,True,12,False,0,,True,327,True,299,,2025-06-03,2025-06-11 00:00
