atributo
avghumidity
avgtemp_c
avgtemp_f
avgvis_km
avgvis_miles
condition
daily_chance_of_rain
daily_chance_of_snow
daily_will_it_rain
daily_will_it_snow
maxtemp_c
maxtemp_f
maxwind_kph
maxwind_mph
mintemp_c
mintemp_f
totalprecip_in
totalprecip_mm
totalsnow_cm
uv
